City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,vangaindrano,-23.35,47.6,20.72,92,99,1.71,MG,1730946385
241,yaren,-0.5472,166.916,28.44,75,100,4.4,NR,1730946386
242,aykhal,66.0,111.5,-15.21,99,85,4.0,RU,1730946387
243,princeville,45.7668,-61.2985,9.62,91,100,6.69,CA,1730946388
244,nieuw amsterdam,5.8833,-55.0833,26.31,83,15,4.25,SR,1730946389
245,pangobilian,8.8011,117.8594,29.44,72,95,1.72,PH,1730946391
246,fada,7.25,4.0667,22.85,93,15,0.28,NG,1730946392
247,callao,-12.0667,-77.15,19.29,82,100,5.66,PE,1730946393
248,kingston,17.997,-76.7936,28.53,79,20,5.14,JM,1730946394
249,sorong,-0.8833,131.25,29.01,70,36,1.35,ID,1730946395
250,sassandra,4.95,-6.0833,24.49,86,10,0.65,CI,1730946396
251,kulhudhuffushi,6.6221,73.07,27.83,71,100,0.88,MV,1730946397
252,jamestown,42.097,-79.2353,13.8,98,75,2.06,US,1730946300
253,shelbyville,35.4834,-86.4603,20.62,42,20,2.06,US,1730946400
254,maceio,-9.6658,-35.7353,22.69,94,0,2.57,BR,1730946401
255,sumbe,-11.2061,13.8437,24.57,84,100,2.98,AO,1730946402
256,al jawf,29.5,38.75,16.5,71,2,6.43,SA,1730946403
257,antsiranana,-12.2787,49.2917,24.17,81,15,7.09,MG,1730946404
258,inhambane,-23.865,35.3833,23.31,80,100,4.28,MZ,1730946405
259,jayapura,-2.5333,140.7,31.66,62,100,0.34,ID,1730946406
260,tofol,5.3248,163.0078,28.54,75,100,5.32,FM,1730946407
261,prado,-17.3411,-39.2208,23.23,87,0,3.33,BR,1730946409
262,ormara,25.2088,64.6357,27.02,75,0,5.23,PK,1730946411
263,kolyvan',55.3053,82.7391,0.1,63,18,10.29,RU,1730946412
264,yemetsk,63.4721,41.7941,1.23,97,100,4.49,RU,1730946413
265,east london,-33.0153,27.9116,13.79,71,78,1.48,ZA,1730946414
266,suva,-18.1416,178.4415,24.71,83,75,4.63,FJ,1730946311
267,toguchin,55.2353,84.3858,0.32,61,14,9.31,RU,1730946416
268,selfoss,63.9331,-20.9971,11.69,91,100,12.42,IS,1730946418
269,dudinka,69.4058,86.1778,-8.31,95,100,7.04,RU,1730946419
270,dickinson,29.4608,-95.0513,26.14,87,100,2.06,US,1730946420
271,nuuk,64.1835,-51.7216,-6.66,68,75,6.17,GL,1730946422
272,kharp,66.8014,65.8081,-10.42,90,7,3.86,RU,1730946423
273,tabalah,19.95,42.4,19.58,36,5,1.9,SA,1730946424
274,papao,-17.75,-149.55,28.82,81,63,8.31,PF,1730946425
275,fort bragg,35.139,-79.006,22.91,84,40,1.54,US,1730946427
276,glace bay,46.1969,-59.957,11.25,86,100,5.66,CA,1730946428
277,nguigmi,14.2495,13.1092,22.82,27,0,7.01,NE,1730946429
278,kijang,35.2442,129.2139,12.85,66,100,4.27,KR,1730946430
279,ankeny,41.7297,-93.6058,7.08,92,0,0.45,US,1730946431
280,gillette,44.2911,-105.5022,-4.47,84,0,3.09,US,1730946393
281,vanino,49.0869,140.2543,-1.28,34,91,4.16,RU,1730946435
282,yeppoon,-23.1333,150.7333,27.84,60,0,7.75,AU,1730946436
283,bestobe,52.4994,73.0975,-1.62,75,100,16.39,KZ,1730946437
284,chapeco,-27.0964,-52.6183,20.86,100,75,5.14,BR,1730946438
285,baryshevo,54.9564,83.1822,1.1,58,44,11.71,RU,1730946439
286,ganges,43.9338,3.7078,12.13,94,48,1.24,FR,1730946240
287,quellon,-43.1167,-73.6167,7.25,81,91,0.9,CL,1730946442
288,okhotsk,59.3833,143.3,-13.79,71,2,6.03,RU,1730946444
289,urangan,-25.3,152.9,24.03,77,31,8.41,AU,1730946445
290,mount isa,-20.7333,139.5,39.87,21,1,2.57,AU,1730946446
291,karratha,-20.7377,116.8463,38.21,15,59,8.58,AU,1730946203
292,college,64.8569,-147.8028,-6.62,86,40,2.57,US,1730946449
293,cabo san lucas,22.8909,-109.9124,24.17,56,75,5.14,MX,1730945975
294,acarau,-2.8856,-40.12,25.85,82,100,8.3,BR,1730946451
295,alice springs,-23.7,133.8833,27.75,51,62,9.77,AU,1730946453
296,montalbano jonico,40.2879,16.5788,11.59,85,44,1.73,IT,1730946454
297,haining,30.5363,120.6864,16.68,55,0,3.52,CN,1730946455
298,brejo,-3.6844,-42.7503,24.0,88,95,3.29,BR,1730946456
299,st. john's,47.5649,-52.7093,10.64,95,100,4.63,CA,1730946457
300,kapa'a,22.0752,-159.319,26.38,81,100,11.32,US,1730946458
301,vorotynets,56.0603,45.8633,-2.76,96,98,3.66,RU,1730946459
302,morehead city,34.7229,-76.726,22.02,92,100,2.68,US,1730946460
303,letlhakeng,-24.0944,25.0298,18.27,81,66,5.07,BW,1730946461
304,new norfolk,-42.7826,147.0587,17.18,28,11,2.58,AU,1730946463
305,marion,39.7684,-86.1555,13.52,83,100,6.17,US,1730946353
306,taro,-8.3862,115.28,30.06,48,60,1.13,ID,1730946465
307,kone,-21.0595,164.8658,30.88,37,0,3.1,NC,1730946466
308,minas de marcona,-15.2119,-75.1103,13.42,83,53,5.54,PE,1730946467
309,erfurt,50.9833,11.0333,5.79,87,100,2.06,DE,1730946468
310,baiao,-2.7906,-49.6717,27.57,63,100,1.81,BR,1730946469
311,atafu village,-8.5421,-172.5159,28.43,71,38,4.98,TK,1730946470
312,constantia,44.1833,28.65,1.38,43,0,2.36,RO,1730946472
313,mammoth lakes,37.6485,-118.9721,-2.59,34,52,2.39,US,1730946473
314,camocim,-2.9022,-40.8411,25.86,82,78,7.9,BR,1730946474
315,tripoli,32.8752,13.1875,20.09,69,0,4.9,LY,1730946475
316,lorengau,-2.0226,147.2712,27.75,81,100,1.14,PG,1730946476
317,san vicente,-26.6167,-54.1333,19.98,94,67,0.56,AR,1730946477
318,rakvere,59.3464,26.3558,6.59,91,100,4.42,EE,1730946478
319,sarkand,45.41,79.9186,4.01,59,100,4.54,KZ,1730946479
320,merritt,50.1123,-120.7942,4.62,75,72,1.79,CA,1730946481
321,colatina,-19.5394,-40.6306,21.2,96,28,0.9,BR,1730946482
322,vilhena,-12.7406,-60.1458,20.25,97,100,1.17,BR,1730946483
323,timaru,-44.4,171.25,21.71,63,0,1.79,NZ,1730946305
324,dalandzadgad,43.5708,104.425,8.28,30,93,1.96,MN,1730946485
325,amahai,-3.3333,128.9167,29.22,71,87,1.39,ID,1730946486
326,yankton,42.8711,-97.3973,5.62,93,0,0.0,US,1730946487
327,nemuro,43.3236,145.575,6.16,64,38,8.53,JP,1730946488
328,ati,13.2154,18.3353,25.33,21,3,6.26,TD,1730946490
329,pembroke,45.8168,-77.1162,8.43,78,100,2.28,CA,1730946491
330,ust-nera,64.5667,143.2,-25.14,97,53,1.62,RU,1730946492
331,olyokminsk,60.3736,120.4264,-8.89,89,100,1.84,RU,1730946493
332,thunder bay,48.4001,-89.3168,2.99,80,20,2.06,CA,1730946494
333,charkhi dadri,28.6,76.2667,21.82,40,0,1.95,IN,1730946495
334,taoudenni,22.6783,-3.9836,25.91,18,74,3.9,ML,1730946496
335,nebraska city,40.6767,-95.8592,9.24,96,0,2.06,US,1730946497
336,mao,39.8885,4.2658,16.31,82,0,3.6,ES,1730946499
337,sanctuary point,-35.1114,150.629,20.36,72,99,3.54,AU,1730946500
338,cam pha mines,21.0167,107.3,23.95,55,5,3.98,VN,1730946501
339,monteagudo,-19.8167,-63.9833,20.78,82,100,1.1,BO,1730946502
340,safotu,-13.4513,-172.4018,27.5,83,96,5.78,WS,1730946503
341,dame-marie,18.5667,-74.4167,26.65,82,63,1.42,HT,1730946504
342,nouadhibou,20.931,-17.0347,18.99,94,20,3.09,MR,1730946505
343,kraljevo,43.7258,20.6894,-2.0,100,0,0.51,RS,1730946506
344,nabisar,25.0685,69.6419,24.36,54,0,3.45,PK,1730946507
345,mar del plata,-38.0023,-57.5575,15.05,75,100,8.23,AR,1730946509
346,bosaso,11.2842,49.1816,25.72,79,1,2.81,SO,1730946510
347,chowchilla,37.123,-120.2602,14.82,51,0,0.0,US,1730946511
348,al bawiti,28.3492,28.8659,16.14,88,0,3.82,EG,1730946512
349,nairn,57.5809,-3.8797,14.92,85,100,1.03,GB,1730946513
350,sisimiut,66.9395,-53.6735,-10.3,77,12,4.99,GL,1730946514
351,isanlu-itedoijowa,8.2667,5.8333,23.13,57,36,1.03,NG,1730946515
352,mili,6.0815,171.735,28.46,74,61,5.84,MH,1730946517
353,mason city,43.1536,-93.201,5.76,87,0,3.09,US,1730946518
354,zhangzhou,24.5133,117.6556,21.12,50,0,1.37,CN,1730946519
355,san antonio de pale,-1.4014,5.6325,25.88,84,100,6.75,GQ,1730946520
356,yasuj,30.6682,51.588,9.75,76,0,0.0,IR,1730946521
357,carbonear,47.7332,-53.2148,10.13,97,100,5.75,CA,1730946522
